,mask,no_mask,time,image,prediction_confidence
0,0,1,18:44:55,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:44:55.434779.jpg,83.86%
1,0,1,18:44:56,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:44:56.296667.jpg,79.26%
2,0,1,18:44:56,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:44:56.457074.jpg,87.20%
3,0,1,18:44:56,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:44:56.847359.jpg,83.14%
4,0,1,18:44:57,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:44:57.056704.jpg,90.78%
5,0,1,18:44:58,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:44:58.432306.jpg,55.25%
6,0,1,18:44:58,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:44:58.558648.jpg,92.06%
7,0,1,18:44:58,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:44:58.908907.jpg,91.13%
8,0,1,18:45:01,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:45:01.176401.jpg,79.28%
9,0,1,18:45:02,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:45:02.576450.jpg,96.70%
10,0,1,18:45:03,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:45:03.306359.jpg,76.81%
11,0,1,18:45:03,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:45:03.682664.jpg,84.58%
12,0,1,18:45:04,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:45:04.216749.jpg,93.81%
13,0,1,18:45:05,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:45:05.075959.jpg,95.15%
14,0,1,18:45:06,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:45:06.161271.jpg,75.95%
15,0,1,18:45:07,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:45:07.189287.jpg,89.18%
16,0,1,18:45:07,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:45:07.945994.jpg,93.15%
17,0,1,18:45:08,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:45:08.369170.jpg,62.96%
18,0,1,18:45:08,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:45:08.859612.jpg,92.43%
19,0,1,18:45:09,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:45:09.171692.jpg,92.23%
20,0,1,18:45:09,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:45:09.629961.jpg,92.14%
21,0,1,18:45:09,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:45:09.874329.jpg,87.43%
22,0,1,18:45:10,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:45:10.055400.jpg,93.63%
23,0,1,18:45:10,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:45:10.202433.jpg,93.23%
24,0,1,18:45:10,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:45:10.412156.jpg,98.91%
25,0,1,18:45:10,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:45:10.547356.jpg,97.34%
26,0,1,18:45:10,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:45:10.694557.jpg,98.56%
27,0,1,18:45:10,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:45:10.830656.jpg,97.07%
28,0,1,18:45:10,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:45:10.997179.jpg,99.53%
29,0,1,18:45:11,/Users/brendanferris/Desktop/scripts/face_mask_detection/without_mask/hasmask2020-11-16 18:45:11.271481.jpg,83.67%
